------------ Data File Created By ActiGraph GT3X+ ActiLife v6.12.0 Firmware v3.2.1 date format M/d/yyyy Filter Normal Multiple Incline Limb: Undefined -----------
Serial Number: NEO1C04110486
Start Time 00:00:00
Start Date 11/19/2013
Epoch Period (hh:mm:ss) 00:01:00
Download Time 11:00:51
Download Date 7/27/2015
Current Memory Address: 0
Current Battery Voltage: 3.22     Mode = 61
--------------------------------------------------
Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying
0,37558,0,0,0,0,0,0,60
0,37911,0,0,0,0,0,0,60
0,37790,0,0,0,0,0,0,60
0,37834,0,0,0,0,0,0,60
0,37883,0,0,0,0,0,0,60
0,37744,0,0,0,0,0,0,60
0,37911,0,0,0,0,0,0,60
0,37790,0,0,0,0,0,0,60
0,37834,0,0,0,0,0,0,60
0,37883,0,0,0,0,0,0,60
0,37744,0,0,0,0,0,0,60
0,37911,0,0,0,0,0,0,60
0,37790,0,0,0,0,0,0,60
0,37834,0,0,0,0,0,0,60
0,37883,0,0,0,0,0,0,60
0,37744,0,0,0,0,0,0,60
0,37911,0,0,0,0,0,0,60
0,37790,0,0,0,0,0,0,60
0,37834,0,0,0,0,0,0,60
0,37883,0,0,0,0,0,0,60
0,37744,0,0,0,0,0,0,60
0,37911,0,0,0,0,0,0,60
0,37790,0,0,0,0,0,0,60
0,37834,0,0,0,0,0,0,60
0,37883,0,0,0,0,0,0,60
0,37744,0,0,0,0,0,0,60
0,37911,0,0,0,0,0,0,60
0,37790,0,0,0,0,0,0,60
0,37834,0,0,0,0,0,0,60
0,37883,0,0,0,0,0,0,60
