------------ Data File Created By ActiGraph GT3X+ ActiLife v6.11.8 Firmware v3.2.1 date format M/d/yyyy Filter Normal Multiple Incline Limb: Undefined -----------
Serial Number: NEO1D26110385
Start Time 00:00:00
Start Date 11/19/2013
Epoch Period (hh:mm:ss) 00:01:00
Download Time 11:10:10
Download Date 12/9/2013
Current Memory Address: 0
Current Battery Voltage: 3.94     Mode = 61
--------------------------------------------------
Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
8,91,84,0,0,0,56,4,0
36,213,38,0,0,50,0,9,1
0,0,0,0,0,60,0,0,0
0,0,0,0,0,0,0,50,10
0,0,0,0,0,0,0,60,0
623,342,608,2,0,0,60,0,0
15,302,543,1,0,0,60,0,0
25,0,138,1,0,0,60,0,0
160,18,676,4,0,0,48,12,0
1091,757,1706,22,0,0,60,0,0
234,215,199,4,0,6,0,37,17
1401,900,866,19,0,0,60,0,0
1476,1053,901,15,0,0,60,0,0
2,0,0,0,0,0,0,60,0
2,0,4,0,0,0,0,60,0
101,0,76,1,0,0,0,60,0
0,0,0,0,0,0,0,60,0
38,26,18,0,0,31,0,29,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
99,26,30,1,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,2,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
119,63,73,2,0,60,0,0,0
477,412,542,4,0,0,60,0,0
0,4,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
20,7,39,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
8,119,2,0,0,0,0,60,0
5,2,0,1,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,60,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
0,0,0,0,0,60,0,0,0
